City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Constitucion,CL,-35.3333,-72.4167,58.32,93,7,8.21,clear sky
132,New Norfolk,AU,-42.7826,147.0587,69.66,46,85,6.13,overcast clouds
133,Niono,ML,14.2526,-5.993,72.63,11,11,10.09,few clouds
134,Esperance,AU,-33.8667,121.9,75.04,44,0,10.58,clear sky
135,Salalah,OM,17.0151,54.0924,69.89,73,20,4.61,few clouds
136,Tagusao,PH,9.1924,117.8141,80.4,73,85,9.37,overcast clouds
137,Orchard Homes,US,46.8633,-114.0484,41.59,85,100,1.99,mist
138,Biak,ID,-0.9131,122.8766,81.48,69,100,2.21,overcast clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,79.9,67,40,3.0,scattered clouds
140,Katangi,IN,23.45,79.7833,49.26,84,96,4.97,overcast clouds
141,Russell,US,32.3502,-85.1999,49.6,82,100,0.29,overcast clouds
142,Antonio Escobedo,MX,20.8,-104.0167,75.04,45,99,1.83,overcast clouds
143,Pevek,RU,69.7008,170.3133,-20.0,95,28,3.18,scattered clouds
144,Raudeberg,NO,61.9875,5.1352,47.86,96,100,15.99,overcast clouds
145,Dandong,CN,40.1292,124.3947,14.0,42,0,14.38,clear sky
146,Beitbridge,ZW,-22.2167,30.0,73.49,77,85,16.93,overcast clouds
147,Olafsvik,IS,64.8945,-23.7142,36.14,63,100,45.52,overcast clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,76.15,90,100,2.42,overcast clouds
149,Goma,CD,-1.6792,29.2228,63.66,72,100,3.53,overcast clouds
150,Aksarka,RU,66.5606,67.7975,11.77,88,100,12.73,overcast clouds
151,Te Anau,NZ,-45.4167,167.7167,63.77,47,1,4.61,clear sky
152,Port Arthur,CN,38.8,121.2667,23.22,47,5,20.38,clear sky
153,Sitka,US,57.0531,-135.33,40.89,87,100,5.75,overcast clouds
154,Atar,MR,20.5169,-13.0499,69.85,16,96,8.03,overcast clouds
155,Kattivakkam,IN,13.2167,80.3167,80.08,86,34,6.93,scattered clouds
156,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds
157,Ponta Do Sol,PT,32.6667,-17.1,63.72,71,37,3.89,scattered clouds
158,Toora-Khem,RU,52.4675,96.11,-5.03,98,100,0.92,overcast clouds
159,La Rioja,ES,42.25,-2.5,35.04,53,0,3.67,clear sky
160,Zyryanka,RU,65.75,150.85,-32.51,99,100,3.29,overcast clouds
161,Susurluk,TR,39.9136,28.1578,38.84,85,99,18.12,overcast clouds
162,Usakos,NA,-22.0,15.6,64.27,46,100,3.2,overcast clouds
163,Severo-Kurilsk,RU,50.6789,156.125,31.55,88,100,41.65,light snow
164,Nemuro,JP,43.3236,145.575,32.43,71,66,25.5,broken clouds
165,Bulgan,MN,48.8125,103.5347,0.75,80,55,4.03,broken clouds
166,Langxiang,CN,46.95,128.8833,-6.99,89,55,3.51,broken clouds
167,Marzuq,YE,14.4,46.4667,59.76,51,10,1.41,clear sky
168,Mmathubudukwane,BW,-24.6,26.4333,68.58,86,16,4.09,light rain
169,Santa Cruz,BO,-17.8,-63.1667,80.06,83,1,4.61,clear sky
170,Upernavik,GL,72.7868,-56.1549,5.97,92,100,3.91,overcast clouds
171,Mildura,AU,-34.2,142.15,91.36,38,75,18.41,broken clouds
172,Port Blair,IN,11.6667,92.75,79.97,77,92,10.29,overcast clouds
173,Tateyama,JP,34.9833,139.8667,45.01,59,97,11.79,overcast clouds
174,Saint-Georges,GD,12.0564,-61.7485,76.68,78,20,8.05,few clouds
175,Reconquista,AR,-29.15,-59.65,84.34,18,0,6.76,clear sky
176,Souillac,MU,-20.5167,57.5167,79.18,89,40,9.22,light rain
177,Katherine,AU,-14.4667,132.2667,75.52,94,100,10.36,moderate rain
178,Santa Marta,CO,11.2408,-74.199,80.89,66,5,13.0,clear sky
179,Joensuu,FI,62.6012,29.7632,32.49,97,100,11.5,overcast clouds
180,Nampula,MZ,-15.1165,39.2666,70.38,96,100,1.7,overcast clouds
181,Lashio,MM,22.9333,97.75,52.43,91,73,1.7,broken clouds
182,Broome,US,42.2506,-75.833,34.57,73,100,1.99,overcast clouds
183,Carnarvon,AU,-24.8667,113.6333,78.87,65,0,19.57,clear sky
184,Avarua,CK,-21.2078,-159.775,84.25,70,75,17.27,broken clouds
185,Bennington,US,42.8781,-73.1968,30.51,75,100,0.0,overcast clouds
